attendance,internal_marks,study_hours,previous_marks,assignment_marks,backlogs,performance
95,92,6.5,94,96,0,Good
91,85,5.5,88,90,0,Good
88,82,4.5,85,87,0,Good
84,78,4.0,80,82,0,Good
79,74,3.5,76,78,0,Good
73,68,3.0,70,72,0,Good
68,62,2.5,65,67,0,Good
61,58,2.0,60,63,0,Poor
56,45,1.5,48,52,2,Poor
52,40,1.0,42,46,3,Poor
48,35,1.0,38,40,4,Poor
65,52,2.0,55,58,2,Poor
72,55,2.5,58,61,2,Poor
80,60,3.0,62,65,3,Poor
90,88,6.0,91,94,4,Poor
94,90,6.5,92,95,5,Poor
87,84,5.5,86,90,2,Good
82,79,4.5,81,84,1,Good
76,72,3.5,74,77,1,Good
70,66,3.0,68,70,1,Good
64,60,2.5,63,65,1,Poor
59,54,2.0,57,60,1,Poor
85,90,2.0,88,92,0,Good
92,86,1.5,90,94,0,Good
78,82,2.0,80,85,0,Good
67,75,1.5,72,78,0,Good
58,78,1.0,75,80,0,Poor
95,65,2.0,60,68,0,Poor
88,55,1.5,58,62,1,Poor
75,88,6.5,85,90,0,Good
70,82,6.0,80,85,0,Good
62,76,5.5,74,78,0,Good
55,70,5.0,68,72,1,Poor
90,72,1.0,70,75,0,Poor
85,68,1.5,65,70,1,Poor
78,65,6.5,72,75,0,Good
72,60,6.0,68,70,1,Good
65,55,5.5,60,64,1,Poor
60,50,5.0,55,58,2,Poor
93,95,7.0,96,97,0,Good
89,91,6.5,92,94,0,Good
83,86,5.5,85,88,0,Good
77,80,4.5,78,82,0,Good
71,75,3.5,73,76,0,Good
66,69,3.0,67,70,0,Good
60,64,2.5,61,65,0,Poor
55,58,2.0,56,60,0,Poor
50,52,1.5,49,54,1,Poor
45,47,1.0,44,48,3,Poor
98,94,7.0,95,98,6,Poor
96,91,6.0,93,95,4,Poor
90,88,5.0,89,91,3,Poor
85,83,4.5,84,87,2,Good
80,78,4.0,79,81,2,Good
75,73,3.5,72,76,2,Poor
70,68,3.0,67,70,2,Poor
65,63,2.5,64,66,2,Poor
60,58,2.0,59,61,2,Poor
88,60,2.0,62,65,0,Poor
92,70,2.5,68,72,0,Poor
96,78,3.0,75,80,0,Good
82,58,2.0,55,60,1,Poor
78,85,4.5,84,88,1,Good
73,80,4.0,78,82,1,Good
68,74,3.5,72,76,1,Good
63,68,3.0,65,70,1,Poor
58,62,2.5,60,64,1,Poor
85,45,1.0,48,50,0,Poor
90,50,1.5,52,55,0,Poor
95,58,2.0,60,62,0,Poor
80,92,5.5,90,94,0,Good
75,89,5.0,87,91,0,Good
70,84,4.5,82,86,0,Good
65,79,4.0,76,81,0,Good
60,73,3.5,70,75,0,Poor
55,68,3.0,65,70,0,Poor
83,76,4.5,79,82,1,Good
57,51,2.0,54,58,2,Poor
91,86,5.5,89,93,3,Poor
